"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","3031141.0","67205.0","2244.0","6558.0","1384.0","948601.0","182396.0","89345.0","334281.0","143931.0","423857.0","140019.0","85598.0","605722.0","383474.0","80048.0","3494663.0","35375.0","14052.0","3515986.0","76007.0","1132381.0","2286275.0"
"和歌山市","1463650.0","5563.0","57.0","230.0","0.0","549039.0","63024.0","42624.0","158798.0","79243.0","195440.0","65421.0","44845.0","259366.0","167073.0","31101.0","1661823.0","16822.0","6682.0","1671963.0","5850.0","612063.0","1043910.0"
"海南市","200024.0","4688.0","18.0","68.0","124.0","84570.0","10457.0","5244.0","15987.0","4992.0","25068.0","16621.0","5406.0","26782.0","13238.0","4185.0","217447.0","2201.0","874.0","218773.0","4774.0","95152.0","117521.0"
"橋本市","114398.0","2821.0","59.0","0.0","20.0","10721.0","8431.0","5442.0","14504.0","7241.0","25988.0","4423.0","3021.0","31728.0","21053.0","3387.0","138838.0","1405.0","558.0","139685.0","2880.0","19171.0","116786.0"
"有田市","184822.0","3546.0","6.0","688.0","13.0","128735.0","4492.0","1500.0","7608.0","3333.0","12969.0","4869.0","1328.0","15735.0","6449.0","1865.0","193136.0","1955.0","777.0","194315.0","4240.0","133240.0","55657.0"
"御坊市","76495.0","2475.0","13.0","422.0","26.0","10615.0","3865.0","4563.0","11921.0","5119.0","9689.0","3172.0","4023.0","20592.0","15361.0","1956.0","93812.0","950.0","377.0","94384.0","2910.0","14506.0","76395.0"
"田辺市","188489.0","5767.0","623.0","996.0","145.0","15841.0","14137.0","8319.0","35442.0","11896.0","25654.0","7220.0","7739.0","54708.0","30347.0","4938.0","223774.0","2265.0","900.0","225139.0","7386.0","30124.0","186264.0"
"新宮市","86218.0","352.0","168.0","82.0","282.0","4104.0","6669.0","6614.0","17264.0","5944.0","11134.0","4710.0","4200.0","24695.0","15604.0","2976.0","104799.0","1061.0","421.0","105438.0","602.0","11055.0","93141.0"
"紀の川市","144847.0","11327.0","52.0","77.0","135.0","39595.0","12821.0","3056.0","15031.0","4384.0","22351.0","8074.0","2190.0","25756.0","14120.0","3613.0","162580.0","1646.0","654.0","163572.0","11456.0","52550.0","98575.0"
"岩出市","73887.0","780.0","12.0","22.0","525.0","4540.0","5686.0","919.0","13028.0","5207.0","17536.0","3713.0","2899.0","19018.0","12807.0","1252.0","87945.0","890.0","354.0","88482.0","815.0","10751.0","76379.0"
"海草郡_紀美野町","19931.0","1580.0","42.0","34.0","0.0","4509.0","2167.0","292.0","1037.0","673.0","3092.0","685.0","283.0","5538.0","3092.0","545.0","23568.0","239.0","95.0","23712.0","1656.0","6676.0","15237.0"
"伊都郡_かつらぎ町","45642.0","3810.0","51.0","0.0","46.0","11511.0","7465.0","889.0","3056.0","1343.0","6943.0","1428.0","713.0","8387.0","7321.0","665.0","53628.0","543.0","216.0","53955.0","3861.0","19021.0","30745.0"
"伊都郡_九度山町","7344.0","711.0","18.0","0.0","0.0","368.0","1010.0","111.0","390.0","295.0","1715.0","501.0","99.0","2125.0","1292.0","281.0","8918.0","90.0","36.0","8972.0","729.0","1378.0","6810.0"
"伊都郡_高野町","9789.0","81.0","60.0","0.0","0.0","758.0","775.0","97.0","935.0","444.0","1386.0","497.0","711.0","4045.0","1309.0","10069.0","21167.0","214.0","85.0","21296.0","141.0","1533.0","19492.0"
"有田郡_湯浅町","30155.0","1494.0","5.0","151.0","0.0","2894.0","3792.0","639.0","4415.0","2336.0","5350.0","1045.0","779.0","7255.0","9886.0","810.0","40851.0","414.0","164.0","41101.0","1650.0","6686.0","32515.0"
"有田郡_広川町","12650.0","1556.0","29.0","39.0","0.0","2348.0","1730.0","90.0","705.0","277.0","2499.0","1240.0","160.0","1978.0","3805.0","427.0","16882.0","171.0","68.0","16985.0","1624.0","4078.0","11179.0"
"有田郡_有田川町","65747.0","7547.0","149.0","50.0","0.0","9842.0","6009.0","811.0","8522.0","1746.0","10464.0","5802.0","1309.0","13496.0","10386.0","1741.0","77874.0","788.0","313.0","78349.0","7746.0","15851.0","54277.0"
"日高郡_美浜町","11173.0","348.0","4.0","43.0","0.0","1150.0","841.0","204.0","462.0","316.0","2721.0","195.0","174.0","4714.0","4755.0","176.0","16104.0","163.0","65.0","16203.0","395.0","1991.0","13718.0"
"日高郡_日高町","10802.0","834.0","15.0","403.0","0.0","1559.0","1270.0","386.0","725.0","280.0","2592.0","474.0","149.0","2116.0","1412.0","481.0","12695.0","129.0","51.0","12772.0","1252.0","2829.0","8615.0"
"日高郡_由良町","24792.0","508.0","7.0","136.0","2.0","16572.0","945.0","202.0","969.0","441.0","2211.0","717.0","162.0","1920.0","2138.0","481.0","27411.0","277.0","110.0","27579.0","651.0","17519.0","9242.0"
"日高郡印南町","23763.0","2151.0","47.0","40.0","0.0","10662.0","2677.0","188.0","1267.0","526.0","2530.0","849.0","213.0","2613.0","1966.0","645.0","26374.0","267.0","106.0","26535.0","2238.0","13340.0","10796.0"
"日高郡みなべ町","36886.0","4633.0","67.0","580.0","0.0","11958.0","4048.0","280.0","2959.0","996.0","4684.0","1750.0","532.0","4400.0","4589.0","725.0","42200.0","427.0","170.0","42457.0","5280.0","16005.0","20914.0"
"日高郡日高川町","21440.0","1856.0","213.0","47.0","21.0","6999.0","3797.0","466.0","795.0","487.0","2808.0","619.0","321.0","3009.0","3648.0","1048.0","26136.0","265.0","105.0","26296.0","2117.0","10817.0","13202.0"
"西牟婁郡_白浜町","52698.0","777.0","85.0","89.0","0.0","3677.0","4845.0","936.0","4830.0","1301.0","7506.0","2019.0","1059.0","25574.0","6049.0","1917.0","60663.0","614.0","244.0","61033.0","951.0","8522.0","51190.0"
"西牟婁郡_上富田町","32941.0","1058.0","42.0","34.0","0.0","10564.0","2746.0","1492.0","3773.0","777.0","5133.0","1846.0","473.0","5003.0","6788.0","920.0","40648.0","411.0","163.0","40896.0","1133.0","13310.0","26204.0"
"西牟婁郡_すさみ町","8845.0","200.0","80.0","106.0","0.0","1731.0","1410.0","159.0","643.0","348.0","1610.0","122.0","198.0","2237.0","1950.0","199.0","10994.0","111.0","44.0","11062.0","386.0","3141.0","7467.0"
"東牟婁郡_那智勝浦町","36055.0","335.0","103.0","347.0","0.0","1610.0","2236.0","608.0","3994.0","1466.0","6009.0","1111.0","1078.0","17155.0","3238.0","1752.0","41046.0","415.0","165.0","41296.0","786.0","3847.0","36413.0"
"東牟婁郡_太地町","4451.0","27.0","7.0","958.0","0.0","138.0","423.0","77.0","348.0","189.0","1172.0","32.0","112.0","968.0","858.0","463.0","5771.0","58.0","23.0","5807.0","991.0","561.0","4219.0"
"東牟婁郡_古座川町","3792.0","151.0","122.0","13.0","44.0","149.0","813.0","40.0","228.0","209.0","925.0","56.0","153.0","889.0","1074.0","797.0","5662.0","57.0","23.0","5697.0","286.0","1006.0","4370.0"
"東牟婁郡_北山村","3136.0","17.0","18.0","0.0","0.0","128.0","383.0","2063.0","49.0","47.0","113.0","0.0","35.0","284.0","406.0","35.0","3578.0","36.0","14.0","3600.0","35.0","511.0","3032.0"
"東牟婁郡_串本町","36282.0","211.0","73.0","901.0","0.0","1714.0","3431.0","1035.0","4594.0","2076.0","6565.0","810.0","1235.0","13637.0","11459.0","598.0","48339.0","489.0","194.0","48634.0","1185.0","5145.0","42009.0"
"海草地区","1683605.0","11831.0","116.0","332.0","124.0","638118.0","75649.0","48160.0","175822.0","84907.0","223600.0","82727.0","50534.0","291686.0","183403.0","35830.0","1902838.0","19262.0","7651.0","1914448.0","12279.0","713891.0","1176668.0"
"那賀地区","218734.0","12107.0","64.0","99.0","659.0","44135.0","18507.0","3975.0","28059.0","9591.0","39888.0","11787.0","5089.0","44774.0","26927.0","4865.0","250525.0","2536.0","1007.0","252054.0","12270.0","63301.0","174954.0"
"伊都地区","177174.0","7424.0","189.0","0.0","65.0","23358.0","17681.0","6540.0","18886.0","9323.0","36032.0","6849.0","4544.0","46285.0","30975.0","14402.0","222550.0","2253.0","895.0","223908.0","7612.0","41104.0","173834.0"
"有田地区","293374.0","14143.0","189.0","928.0","13.0","143819.0","16024.0","3040.0","21250.0","7692.0","31282.0","12955.0","3576.0","38464.0","30525.0","4844.0","328743.0","3328.0","1322.0","330749.0","15259.0","159856.0","153628.0"
"日高地区","205350.0","12805.0","366.0","1672.0","50.0","59514.0","17443.0","6288.0","19099.0","8164.0","27234.0","7776.0","5574.0","39365.0","33870.0","5512.0","244732.0","2477.0","984.0","246225.0","14843.0","77007.0","152882.0"
"西牟婁地区","282972.0","7802.0","830.0","1226.0","145.0","31814.0","23138.0","10906.0","44688.0","14322.0","39904.0","11208.0","9468.0","87521.0","45134.0","7973.0","336079.0","3402.0","1351.0","338130.0","9857.0","55097.0","271125.0"
"東牟婁地区","169933.0","1093.0","490.0","2302.0","326.0","7844.0","13955.0","10436.0","26478.0","9932.0","25918.0","6719.0","6814.0","57627.0","32639.0","6622.0","209195.0","2118.0","841.0","210471.0","3886.0","22125.0","183184.0"
