"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","85.6","1.6","0.1","0.2","0.0","24.4","5.2","2.6","10.1","4.3","12.7","3.9","2.6","17.9","11.7","2.2","99.5","0.9","0.4","100.0","1.8","29.6","68.1"
"和歌山市","87.1","0.3","0.0","0.0","0.0","31.7","3.6","2.6","9.9","4.9","11.9","3.8","2.8","15.8","10.5","1.8","99.5","0.9","0.4","100.0","0.3","35.2","64.0"
"海南市","91.4","1.7","0.0","0.0","0.1","38.5","5.5","2.3","7.4","2.4","11.5","7.5","2.5","12.0","6.3","1.7","99.5","0.9","0.4","100.0","1.7","44.1","53.6"
"橋本市","81.9","1.7","0.0","0.0","0.0","7.0","5.9","3.8","10.9","5.3","19.4","3.0","2.3","22.7","15.3","2.3","99.5","0.9","0.4","100.0","1.7","12.9","84.8"
"有田市","91.2","3.0","0.0","0.7","0.0","33.1","4.0","1.6","8.3","3.6","14.3","4.7","1.5","16.5","6.5","1.8","99.5","0.9","0.4","100.0","3.7","37.2","58.6"
"御坊市","80.8","2.1","0.0","0.4","0.0","10.6","4.9","4.6","12.9","5.4","10.7","3.2","4.5","21.4","16.7","2.0","99.5","0.9","0.4","100.0","2.5","15.5","81.5"
"田辺市","83.4","2.1","0.3","0.4","0.0","6.8","6.3","3.6","16.0","5.2","11.5","2.9","3.6","24.6","14.1","2.0","99.5","0.9","0.4","100.0","2.8","13.2","83.5"
"新宮市","81.6","0.3","0.2","0.1","0.1","3.7","4.9","6.2","17.1","5.7","11.0","4.5","4.2","23.6","15.3","2.6","99.5","0.9","0.4","100.0","0.5","8.8","90.2"
"紀の川市","88.2","5.2","0.0","0.0","0.1","28.0","7.6","1.8","8.8","2.6","13.5","4.2","1.3","14.8","9.4","2.0","99.5","0.9","0.4","100.0","5.3","35.7","58.5"
"岩出市","83.7","0.7","0.0","0.0","0.7","4.8","7.5","1.0","15.1","5.9","19.6","3.8","3.3","21.4","14.5","1.3","99.5","0.9","0.4","100.0","0.8","13.0","85.8"
"海草郡_紀美野町","83.5","5.2","0.2","0.1","0.0","20.2","9.5","1.3","4.3","2.8","14.0","2.6","1.2","22.1","14.0","2.0","99.5","0.9","0.4","100.0","5.5","29.7","64.3"
"伊都郡_かつらぎ町","83.0","6.1","0.1","0.0","0.1","20.0","11.7","1.7","6.3","2.8","13.4","2.6","1.5","16.8","15.3","1.2","99.5","0.9","0.4","100.0","6.2","31.8","61.6"
"伊都郡_九度山町","83.1","6.7","0.2","0.0","0.0","3.8","9.7","1.4","4.8","3.7","21.3","5.6","1.2","24.6","13.4","3.0","99.5","0.9","0.4","100.0","6.9","13.5","79.1"
"伊都郡_高野町","47.7","0.3","0.3","0.0","0.0","3.8","3.6","0.5","4.7","2.2","7.1","2.4","3.7","19.0","7.1","44.7","99.5","0.9","0.4","100.0","0.6","7.4","91.5"
"有田郡_湯浅町","74.1","3.2","0.0","0.4","0.0","6.4","5.5","1.8","12.0","6.3","14.8","2.6","2.2","18.9","23.4","2.0","99.5","0.9","0.4","100.0","3.6","11.9","84.0"
"有田郡_広川町","74.1","7.9","0.2","0.0","0.0","12.9","8.5","0.6","4.6","1.9","16.6","7.3","1.1","12.5","22.9","2.5","99.5","0.9","0.4","100.0","8.1","21.4","70.0"
"有田郡_有田川町","83.6","7.6","0.2","0.1","0.0","14.5","7.7","1.1","11.0","2.3","13.8","6.8","1.7","16.9","13.9","2.0","99.5","0.9","0.4","100.0","7.9","22.1","69.5"
"日高郡_美浜町","68.4","1.7","0.0","0.2","0.0","6.4","5.6","1.3","2.9","2.0","17.3","1.1","1.1","28.5","30.2","1.0","99.5","0.9","0.4","100.0","1.9","12.1","85.5"
"日高郡_日高町","85.0","5.3","0.1","2.9","0.0","14.0","9.6","3.1","5.8","2.3","20.8","3.3","1.2","16.5","11.1","3.4","99.5","0.9","0.4","100.0","8.4","23.5","67.6"
"日高郡_由良町","90.2","1.4","0.0","0.3","0.0","59.3","5.3","0.8","3.5","1.6","8.0","2.5","0.6","6.9","7.8","1.5","99.5","0.9","0.4","100.0","1.8","64.6","33.1"
"日高郡印南町","89.7","6.5","0.2","0.1","0.0","43.7","7.2","0.6","5.0","2.1","10.1","3.0","0.9","10.2","7.5","2.3","99.5","0.9","0.4","100.0","6.9","50.9","41.7"
"日高郡みなべ町","86.1","8.9","0.2","1.3","0.0","27.3","10.5","0.7","7.4","2.5","11.1","3.9","1.4","10.9","11.7","1.6","99.5","0.9","0.4","100.0","10.4","37.8","51.3"
"日高郡日高川町","81.8","5.6","0.8","0.2","0.0","29.8","13.3","1.7","3.1","1.9","10.8","2.1","1.2","11.3","14.1","3.6","99.5","0.9","0.4","100.0","6.6","43.2","49.7"
"西牟婁郡_白浜町","85.6","1.0","0.1","0.0","0.0","5.2","8.1","1.5","8.2","2.2","12.1","3.6","1.8","41.7","11.1","2.8","99.5","0.9","0.4","100.0","1.1","13.3","85.0"
"西牟婁郡_上富田町","79.3","2.3","0.1","0.1","0.0","21.1","5.2","4.1","10.4","2.2","14.0","4.4","1.3","14.0","18.0","2.3","99.5","0.9","0.4","100.0","2.5","26.3","70.7"
"西牟婁郡_すさみ町","81.3","1.6","0.8","0.9","0.0","16.3","9.2","1.6","6.3","3.4","15.9","1.1","2.0","22.2","16.5","1.7","99.5","0.9","0.4","100.0","3.2","25.4","70.8"
"東牟婁郡_那智勝浦町","87.4","0.7","0.2","0.8","0.0","3.9","6.3","1.5","9.7","3.6","15.0","2.5","2.7","40.5","8.3","3.8","99.5","0.9","0.4","100.0","1.7","10.2","87.6"
"東牟婁郡_太地町","79.3","0.4","0.1","20.1","0.0","2.7","6.2","1.3","6.0","3.4","20.3","0.6","2.0","16.3","13.2","7.0","99.5","0.9","0.4","100.0","20.6","8.9","70.0"
"東牟婁郡_古座川町","67.5","2.0","2.2","0.3","0.4","2.6","17.1","0.7","4.0","3.6","16.1","0.8","2.7","14.8","19.8","12.2","99.5","0.9","0.4","100.0","4.4","20.2","74.9"
"東牟婁郡_北山村","87.9","0.4","0.5","0.0","0.0","3.1","11.0","55.9","1.6","1.5","3.6","0.0","1.2","9.1","10.6","1.0","99.5","0.9","0.4","100.0","1.0","14.1","84.4"
"東牟婁郡_串本町","73.9","0.4","0.2","1.2","0.0","1.8","6.4","2.2","10.1","4.5","14.6","1.6","2.8","28.2","24.5","1.2","99.5","0.9","0.4","100.0","1.7","8.2","89.6"
"海草地区","87.6","0.5","0.0","0.0","0.0","32.3","3.9","2.5","9.5","4.6","11.8","4.2","2.7","15.4","10.1","1.8","99.5","0.9","0.4","100.0","0.5","36.2","62.8"
"那賀地区","86.6","3.7","0.0","0.0","0.3","20.1","7.6","1.5","11.0","3.7","15.6","4.1","2.0","17.1","11.1","1.7","99.5","0.9","0.4","100.0","3.8","27.9","67.8"
"伊都地区","79.0","2.8","0.1","0.0","0.0","9.5","7.2","2.9","9.0","4.3","16.9","2.9","2.2","21.1","14.5","6.1","99.5","0.9","0.4","100.0","2.8","16.8","79.9"
"有田地区","84.6","5.0","0.1","0.4","0.0","20.8","5.9","1.4","9.6","3.5","14.4","5.3","1.7","16.8","13.0","1.9","99.5","0.9","0.4","100.0","5.4","26.7","67.4"
"日高地区","83.2","4.1","0.2","0.6","0.0","24.6","7.3","2.5","7.9","3.4","11.4","3.0","2.4","15.9","14.2","2.1","99.5","0.9","0.4","100.0","4.9","31.9","62.7"
"西牟婁地区","83.3","1.9","0.3","0.3","0.0","8.4","6.6","3.2","13.6","4.3","12.0","3.2","3.0","26.5","14.0","2.2","99.5","0.9","0.4","100.0","2.4","15.1","82.0"
"東牟婁地区","80.7","0.4","0.2","1.0","0.1","3.3","6.0","4.8","13.1","4.8","12.9","3.1","3.4","27.4","15.9","2.9","99.5","0.9","0.4","100.0","1.7","9.4","88.4"
