"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","2.8","-15.2","-5.1","-3.0","-7.8","16.2","-4.5","-6.9","-4.8","2.4","2.3","0.9","-2.9","-5.6","-2.0","32.7","2.7","14.2","5.8","2.8","-13.5","12.8","-1.6"
"和歌山市","6.9","-12.9","-7.0","-29.4","-3.8","19.5","-4.9","-5.2","-2.8","4.3","2.2","3.5","3.9","-5.5","-3.0","24.3","6.1","17.9","9.3","6.2","-14.0","17.2","-0.9"
"海南市","3.2","-8.1","-2.6","-42.4","7.5","11.1","11.2","-9.9","-7.8","-1.4","1.7","1.2","-9.9","-5.5","9.0","61.7","4.2","15.8","7.3","4.2","-9.3","11.1","-0.9"
"橋本市","-2.2","-13.6","-7.5","-17.0","-99.5","-0.7","7.6","-11.2","-5.0","-0.6","0.8","-8.2","-2.5","-3.2","1.8","0.6","-1.6","9.4","1.4","-1.5","-13.4","2.3","-2.0"
"有田市","12.6","-15.2","-8.0","-23.2","-","26.8","-18.6","-9.4","-5.9","-0.6","3.6","-5.6","-19.4","-5.9","-6.9","58.0","11.9","24.4","15.3","12.0","-17.4","24.3","-2.7"
"御坊市","-5.9","-10.7","-4.0","-3.2","-","-7.8","-20.4","-5.0","-8.5","3.6","3.5","-9.3","-7.3","-5.2","-0.3","60.7","-4.0","6.7","-1.1","-3.9","-9.7","-13.2","-2.2"
"田辺市","-4.8","-22.2","-4.3","-12.1","2.0","3.6","-11.1","-6.1","-4.5","4.8","2.3","-3.8","-19.4","-6.7","-4.8","0.5","-4.7","6.0","-1.8","-4.6","-19.3","-3.4","-4.0"
"新宮市","-3.1","-9.7","-5.4","139.1","5.4","-4.5","-14.5","-10.4","-4.0","6.5","4.1","21.4","7.9","-7.8","-2.0","5.9","-2.7","8.2","0.3","-2.6","10.5","-10.3","-1.7"
"紀の川市","0.3","-13.2","-4.3","14.4","-94.1","9.8","-3.8","-3.2","-1.8","-5.0","1.2","0.3","-21.0","-1.4","4.3","-8.0","0.5","11.7","3.5","0.6","-12.7","6.2","-0.8"
"岩出市","-2.0","-10.6","-38.2","121.4","-10.8","-1.4","-5.6","6.7","-6.3","9.5","2.8","23.9","-19.9","-4.1","-1.9","-19.2","-2.3","8.6","0.6","-2.2","-11.0","-4.5","-1.7"
"海草郡_紀美野町","-2.4","-5.5","9.6","-3.6","-","5.2","-14.7","13.3","-7.4","-17.4","2.6","0.2","-19.0","-3.7","1.7","96.4","-0.6","10.5","2.4","-0.5","-4.8","-0.4","-0.2"
"伊都郡_かつらぎ町","-8.6","-21.9","-1.3","-17.0","-6.6","-12.6","-12.7","-5.0","-9.0","-7.2","1.3","-0.6","-18.7","-3.3","-13.5","72.4","-8.7","1.5","-5.9","-8.6","-21.3","-12.6","-5.1"
"伊都郡_九度山町","-3.3","-18.1","-10.5","-","-","0.6","9.7","-0.7","-15.0","-12.8","1.1","-1.2","-17.5","-0.9","-16.7","18.4","-4.3","6.4","-1.4","-4.2","-17.8","6.1","-4.8"
"伊都郡_高野町","-9.1","-28.0","-0.3","-","-","-6.2","-9.3","2.2","-13.5","-11.6","2.6","7.9","-18.7","-13.6","-11.6","240.4","39.7","55.2","43.9","39.8","-13.2","-7.9","46.6"
"有田郡_湯浅町","-6.5","-13.6","-18.8","-60.9","-","1.3","-33.5","1.6","-9.9","2.8","3.3","-11.2","-14.6","-2.3","-2.6","27.5","-4.9","5.7","-2.0","-4.8","-23.8","-14.6","-2.3"
"有田郡_広川町","-3.1","-11.9","-4.5","14.5","-","-3.3","15.9","-0.3","-12.3","-2.7","3.6","-14.7","-20.8","-9.2","-4.3","32.7","-2.3","8.6","0.6","-2.2","-10.4","4.0","-3.9"
"有田郡_有田川町","-4.3","-12.9","-9.9","8.6","-","-2.6","7.1","-30.5","-4.6","1.0","4.1","-18.9","-15.2","-4.8","7.1","48.5","-2.0","9.0","1.0","-1.9","-11.5","0.5","-1.4"
"日高郡_美浜町","-5.0","-16.4","-14.6","-26.8","-","-12.7","-20.5","-2.5","-19.8","-2.1","4.1","67.4","-19.0","1.6","2.9","0.5","-2.8","8.1","0.1","-2.7","-17.6","-15.7","1.2"
"日高郡_日高町","-10.7","-3.2","9.5","-20.5","-100.0","-18.8","-26.8","-9.8","-12.5","-7.0","4.6","4.2","-19.6","-0.8","-21.6","112.0","-9.9","0.1","-7.2","-9.8","-11.6","-24.8","-2.9"
