"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","3119110.0","68450.0","7149.0","14739.0","16165.0","981110.0","198896.0","96905.0","386111.0","174401.0","363213.0","108668.0","93391.0","609912.0","437058.0","61397.0","3617565.0","28895.0","14414.0","3632046.0","90338.0","1196171.0","2331055.0"
"和歌山市","1423592.0","5721.0","161.0","558.0","12622.0","498051.0","60640.0","45858.0","177507.0","103268.0","157061.0","53813.0","47745.0","260587.0","200962.0","22051.0","1646605.0","13152.0","6561.0","1653197.0","6440.0","571313.0","1068852.0"
"海南市","232584.0","3474.0","50.0","175.0","288.0","117200.0","9643.0","6038.0","20214.0","6078.0","23915.0","13355.0","5548.0","26607.0","14965.0","2544.0","250093.0","1998.0","996.0","251094.0","3698.0","127130.0","119265.0"
"橋本市","141040.0","2975.0","205.0","13.0","163.0","35529.0","10876.0","6580.0","17171.0","8516.0","24700.0","3301.0","3501.0","27510.0","21000.0","3030.0","165070.0","1318.0","658.0","165731.0","3193.0","46568.0","115309.0"
"有田市","194693.0","2751.0","19.0","1510.0","0.0","141312.0","5465.0","1627.0","7860.0","3459.0","11323.0","2585.0","1743.0","15038.0","7760.0","1013.0","203467.0","1625.0","811.0","204281.0","4280.0","146777.0","52409.0"
"御坊市","84897.0","2506.0","36.0","495.0","0.0","9911.0","7673.0","5326.0","16764.0","5814.0","8655.0","2776.0","1919.0","23021.0","18622.0","1090.0","104610.0","836.0","417.0","105028.0","3037.0","17585.0","83988.0"
"田辺市","200797.0","6912.0","1858.0","1580.0","474.0","18940.0","17252.0","8941.0","39914.0","13606.0","21810.0","4772.0","9658.0","55080.0","32997.0","4671.0","238465.0","1905.0","950.0","239420.0","10350.0","36666.0","191449.0"
"新宮市","92776.0","413.0","487.0","258.0","180.0","6071.0","8918.0","6797.0","19915.0","6739.0","9178.0","3050.0","4464.0","26304.0","17552.0","2803.0","113130.0","904.0","451.0","113583.0","1157.0","15170.0","96803.0"
"紀の川市","142539.0","12148.0","182.0","351.0","567.0","41875.0","10427.0","3006.0","14805.0","4956.0","22492.0","4894.0","3118.0","23718.0","15469.0","4202.0","162209.0","1296.0","646.0","162859.0","12681.0","52869.0","96659.0"
"岩出市","68141.0","1123.0","21.0","4.0","1151.0","6059.0","6868.0","594.0","13780.0","2957.0","13646.0","1753.0","2619.0","17566.0","12955.0","1819.0","82916.0","662.0","330.0","83248.0","1148.0","14079.0","67690.0"
"海草郡_紀美野町","24687.0","1549.0","145.0","39.0","0.0","7293.0","2532.0","292.0","2021.0","721.0","3226.0","466.0","638.0","5765.0","4197.0","338.0","29221.0","233.0","116.0","29338.0","1733.0","9825.0","17663.0"
"伊都郡_かつらぎ町","41739.0","3766.0","172.0","10.0","153.0","10413.0","5106.0","502.0","3576.0","1299.0","6445.0","1331.0","936.0","8031.0","11463.0","515.0","53717.0","429.0","214.0","53932.0","3947.0","15672.0","34098.0"
"伊都郡_九度山町","8383.0","709.0","83.0","0.0","0.0","733.0","978.0","138.0","618.0","565.0","1839.0","479.0","253.0","1989.0","1137.0","314.0","9835.0","79.0","39.0","9874.0","791.0","1711.0","7332.0"
"伊都郡_高野町","11468.0","133.0","198.0","0.0","0.0","1099.0","741.0","153.0","1488.0","692.0","1419.0","685.0","298.0","4563.0","1594.0","3844.0","16906.0","135.0","67.0","16973.0","331.0","1840.0","14735.0"
"有田郡_湯浅町","30460.0","1294.0","12.0","309.0","0.0","4089.0","2479.0","591.0","5961.0","2027.0","4827.0","1517.0","767.0","6586.0","10002.0","751.0","41213.0","329.0","164.0","41378.0","1616.0","6568.0","33029.0"
"有田郡_広川町","14807.0","1389.0","109.0","97.0","0.0","4099.0","2320.0","83.0","909.0","339.0","2186.0","1028.0","310.0","1939.0","3406.0","611.0","18824.0","150.0","75.0","18900.0","1595.0","6419.0","10810.0"
"有田郡_有田川町","71817.0","6463.0","542.0","536.0","0.0","13423.0","10385.0","1554.0","9101.0","2129.0","8953.0","4165.0","1618.0","12947.0","10512.0","1199.0","83528.0","667.0","333.0","83863.0","7541.0","23808.0","52179.0"
"日高郡_美浜町","12802.0","445.0","16.0","81.0","17.0","2275.0","1489.0","233.0","958.0","350.0","2454.0","88.0","318.0","4077.0","4326.0","342.0","17470.0","140.0","70.0","17540.0","543.0","3781.0","13146.0"
"日高郡_日高町","12535.0","951.0","38.0","1377.0","127.0","1502.0","2399.0","288.0","1053.0","360.0","2044.0","308.0","290.0","1798.0","1643.0","262.0","14441.0","115.0","58.0","14499.0","2366.0","4028.0","8046.0"
"日高郡_由良町","21837.0","492.0","20.0","353.0","0.0","11789.0","1706.0","207.0","1356.0","580.0","1939.0","608.0","307.0","2480.0","1950.0","345.0","24132.0","193.0","96.0","24229.0","865.0","13495.0","9773.0"
"日高郡印南町","19173.0","2653.0","125.0","118.0","0.0","5542.0","3013.0","173.0","1719.0","618.0","1588.0","244.0","401.0","2979.0","1777.0","387.0","21337.0","170.0","85.0","21422.0","2896.0","8555.0","9885.0"
"日高郡みなべ町","44960.0","5560.0","226.0","742.0","0.0","17439.0","4695.0","408.0","3463.0","992.0","4608.0","502.0","621.0","5703.0","4163.0","740.0","49863.0","398.0","199.0","50062.0","6528.0","22134.0","21200.0"
"日高郡日高川町","24741.0","1894.0","589.0","471.0","0.0","6831.0","4259.0","1364.0","1058.0","673.0","2427.0","895.0","501.0","3778.0","4305.0","706.0","29752.0","238.0","119.0","29871.0","2954.0","11090.0","15708.0"
"西牟婁郡_白浜町","62439.0","1076.0","285.0","663.0","105.0","4727.0","4547.0","1254.0","6657.0","1555.0","7183.0","3011.0","1535.0","29842.0","6692.0","3228.0","72360.0","578.0","288.0","72650.0","2024.0","9379.0","60957.0"
"西牟婁郡_上富田町","29491.0","994.0","117.0","20.0","58.0","9102.0","2540.0","552.0","3905.0","804.0","3941.0","1036.0","684.0","5739.0","6639.0","1236.0","37366.0","298.0","149.0","37516.0","1130.0","11700.0","24536.0"
