"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","85.9","1.9","0.2","0.4","0.4","27.0","5.5","2.7","10.6","4.8","10.0","3.0","2.6","16.8","12.0","1.7","99.6","0.8","0.4","100.0","2.5","32.9","64.2"
"和歌山市","86.1","0.3","0.0","0.0","0.8","30.1","3.7","2.8","10.7","6.2","9.5","3.3","2.9","15.8","12.2","1.3","99.6","0.8","0.4","100.0","0.4","34.6","64.7"
"海南市","92.6","1.4","0.0","0.1","0.1","46.7","3.8","2.4","8.1","2.4","9.5","5.3","2.2","10.6","6.0","1.0","99.6","0.8","0.4","100.0","1.5","50.6","47.5"
"橋本市","85.1","1.8","0.1","0.0","0.1","21.4","6.6","4.0","10.4","5.1","14.9","2.0","2.1","16.6","12.7","1.8","99.6","0.8","0.4","100.0","1.9","28.1","69.6"
"有田市","95.3","1.3","0.0","0.7","0.0","69.2","2.7","0.8","3.8","1.7","5.5","1.3","0.9","7.4","3.8","0.5","99.6","0.8","0.4","100.0","2.1","71.9","25.7"
"御坊市","80.8","2.4","0.0","0.5","0.0","9.4","7.3","5.1","16.0","5.5","8.2","2.6","1.8","21.9","17.7","1.0","99.6","0.8","0.4","100.0","2.9","16.7","80.0"
"田辺市","83.9","2.9","0.8","0.7","0.2","7.9","7.2","3.7","16.7","5.7","9.1","2.0","4.0","23.0","13.8","2.0","99.6","0.8","0.4","100.0","4.3","15.3","80.0"
"新宮市","81.7","0.4","0.4","0.2","0.2","5.3","7.9","6.0","17.5","5.9","8.1","2.7","3.9","23.2","15.5","2.5","99.6","0.8","0.4","100.0","1.0","13.4","85.2"
"紀の川市","87.5","7.5","0.1","0.2","0.3","25.7","6.4","1.8","9.1","3.0","13.8","3.0","1.9","14.6","9.5","2.6","99.6","0.8","0.4","100.0","7.8","32.5","59.4"
"岩出市","81.9","1.3","0.0","0.0","1.4","7.3","8.3","0.7","16.6","3.6","16.4","2.1","3.1","21.1","15.6","2.2","99.6","0.8","0.4","100.0","1.4","16.9","81.3"
"海草郡_紀美野町","84.1","5.3","0.5","0.1","0.0","24.9","8.6","1.0","6.9","2.5","11.0","1.6","2.2","19.6","14.3","1.2","99.6","0.8","0.4","100.0","5.9","33.5","60.2"
"伊都郡_かつらぎ町","77.4","7.0","0.3","0.0","0.3","19.3","9.5","0.9","6.6","2.4","11.9","2.5","1.7","14.9","21.3","1.0","99.6","0.8","0.4","100.0","7.3","29.1","63.2"
"伊都郡_九度山町","84.9","7.2","0.8","0.0","0.0","7.4","9.9","1.4","6.3","5.7","18.6","4.9","2.6","20.1","11.5","3.2","99.6","0.8","0.4","100.0","8.0","17.3","74.3"
"伊都郡_高野町","67.6","0.8","1.2","0.0","0.0","6.5","4.4","0.9","8.8","4.1","8.4","4.0","1.8","26.9","9.4","22.6","99.6","0.8","0.4","100.0","1.9","10.8","86.8"
"有田郡_湯浅町","73.6","3.1","0.0","0.7","0.0","9.9","6.0","1.4","14.4","4.9","11.7","3.7","1.9","15.9","24.2","1.8","99.6","0.8","0.4","100.0","3.9","15.9","79.8"
"有田郡_広川町","78.3","7.4","0.6","0.5","0.0","21.7","12.3","0.4","4.8","1.8","11.6","5.4","1.6","10.3","18.0","3.2","99.6","0.8","0.4","100.0","8.4","34.0","57.2"
"有田郡_有田川町","85.6","7.7","0.6","0.6","0.0","16.0","12.4","1.9","10.9","2.5","10.7","5.0","1.9","15.4","12.5","1.4","99.6","0.8","0.4","100.0","9.0","28.4","62.2"
"日高郡_美浜町","73.0","2.5","0.1","0.5","0.1","13.0","8.5","1.3","5.5","2.0","14.0","0.5","1.8","23.2","24.7","2.0","99.6","0.8","0.4","100.0","3.1","21.6","74.9"
"日高郡_日高町","86.5","6.6","0.3","9.5","0.9","10.4","16.5","2.0","7.3","2.5","14.1","2.1","2.0","12.4","11.3","1.8","99.6","0.8","0.4","100.0","16.3","27.8","55.5"
"日高郡_由良町","90.1","2.0","0.1","1.5","0.0","48.7","7.0","0.9","5.6","2.4","8.0","2.5","1.3","10.2","8.0","1.4","99.6","0.8","0.4","100.0","3.6","55.7","40.3"
