"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"東牟婁郡_古座川町","-3.7","47.3","-24.4","-69.4","-47.3","-37.2","-2.6","-7.5","-6.9","-5.0","2.3","1744.3","-4.0","0.7","-0.2","-6.1","-3.1","1.4","-5.2","-3.0","-9.5","-9.8","-0.7"
"東牟婁郡_北山村","-3.9","1.5","-26.2","-","-","13.1","-13.8","-3.3","-1.4","-6.3","0.2","-","-2.9","4.0","-18.0","-8.4","-6.8","-2.5","-8.8","-6.8","-17.3","-11.7","-5.9"
"東牟婁郡_串本町","-1.1","6.7","-23.5","6.4","-","-39.3","0.9","3.5","1.6","0.5","2.8","7.9","-4.2","1.3","-0.9","-7.3","-1.1","3.4","-3.3","-1.1","3.0","-17.2","0.7"
"海草地区","1.8","3.1","-22.5","18.6","-26.0","2.3","7.5","8.5","0.8","-2.6","1.5","11.5","-2.1","0.2","-2.2","1.3","1.4","6.0","-0.9","1.4","3.3","2.2","0.8"
"那賀地区","2.8","2.4","-23.3","-15.0","-23.0","-0.4","18.1","11.6","0.4","5.2","1.8","9.9","-7.2","2.0","3.5","-3.9","2.7","7.5","0.5","2.8","1.7","4.2","2.3"
"伊都地区","-2.1","18.2","-21.7","17.1","-18.4","-8.4","-24.2","5.2","-2.0","-0.8","2.1","23.1","-1.2","1.4","-1.6","-2.2","-2.0","2.5","-4.2","-2.0","15.6","-15.2","1.0"
"有田地区","-8.8","10.6","-26.0","38.7","-","-23.6","-1.5","8.6","4.5","2.6","4.4","0.1","-6.9","0.6","0.9","-1.3","-7.7","-3.4","-9.7","-7.6","12.4","-21.1","1.9"
"日高地区","0.9","8.1","-21.5","-7.1","-32.4","2.5","-12.7","9.2","-2.3","-0.1","4.5","29.4","-4.6","-0.4","3.0","3.1","1.2","5.9","-1.0","1.2","4.7","-2.4","2.4"
"西牟婁地区","-1.1","9.4","-22.4","-19.3","-14.6","-11.2","-6.4","11.5","1.9","-0.7","2.8","10.0","-13.0","-0.8","-0.2","-1.8","-0.9","3.6","-3.1","-0.9","1.8","-9.3","0.7"
"東牟婁地区","0.1","7.1","-24.0","-8.1","-12.2","-11.7","8.0","3.9","-1.6","0.9","3.0","11.9","-1.0","-0.8","-0.9","-3.2","-0.1","4.5","-2.3","-0.1","-7.9","-0.4","0.1"
