"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","86.1","1.9","0.1","0.2","0.0","27.9","5.9","1.8","10.1","3.9","12.0","3.4","2.4","16.4","10.8","2.5","99.3","1.2","0.5","100.0","2.1","33.9","63.4"
"和歌山市","87.4","0.3","0.0","0.0","0.0","34.0","3.8","1.8","10.3","4.6","11.8","3.4","2.7","14.7","9.9","2.0","99.3","1.2","0.5","100.0","0.3","37.7","61.3"
"海南市","91.4","2.1","0.0","0.0","0.1","40.1","4.6","1.5","7.9","2.3","11.4","7.1","2.5","11.8","5.9","2.1","99.3","1.2","0.5","100.0","2.1","44.8","52.4"
"橋本市","81.7","1.9","0.0","0.0","0.0","8.3","8.2","2.6","10.6","5.0","18.3","2.7","2.1","21.8","15.0","2.6","99.3","1.2","0.5","100.0","2.0","16.6","80.8"
"有田市","94.9","1.8","0.0","0.4","0.0","66.3","2.0","0.6","4.2","1.8","6.8","2.3","0.7","8.0","3.4","1.1","99.3","1.2","0.5","100.0","2.2","68.4","28.8"
"御坊市","80.9","2.6","0.0","0.5","0.0","11.1","4.8","3.0","13.6","5.5","10.4","3.2","4.6","21.5","16.2","2.3","99.3","1.2","0.5","100.0","3.1","16.0","80.3"
"田辺市","83.3","2.4","0.3","0.4","0.0","7.4","9.2","2.3","16.6","4.9","11.1","2.4","3.5","22.8","13.6","2.4","99.3","1.2","0.5","100.0","3.1","16.6","79.6"
"新宮市","80.9","0.3","0.2","0.1","0.1","4.8","7.2","3.6","17.5","5.5","10.6","3.9","4.2","22.9","15.3","3.2","99.3","1.2","0.5","100.0","0.6","12.1","86.6"
"紀の川市","88.6","6.1","0.0","0.0","0.1","30.2","8.7","1.3","8.9","2.4","12.2","3.5","1.2","14.0","8.6","2.2","99.3","1.2","0.5","100.0","6.2","38.9","54.3"
"岩出市","83.6","0.9","0.0","0.0","0.6","5.8","6.9","1.0","15.3","6.0","20.0","2.8","3.2","21.1","14.2","1.5","99.3","1.2","0.5","100.0","0.9","13.3","85.1"
"海草郡_紀美野町","83.4","6.7","0.2","0.1","0.0","18.2","8.6","1.2","4.8","2.9","13.5","2.6","1.2","23.5","13.3","2.6","99.3","1.2","0.5","100.0","7.0","26.8","65.6"
"伊都郡_かつらぎ町","85.2","6.2","0.1","0.0","0.1","27.9","13.8","1.1","5.3","2.3","11.6","2.0","1.2","13.6","12.9","1.2","99.3","1.2","0.5","100.0","6.3","41.8","51.2"
"伊都郡_九度山町","82.6","8.0","0.2","0.0","0.0","6.4","9.2","1.2","4.7","3.4","19.8","4.5","1.1","24.1","13.2","3.6","99.3","1.2","0.5","100.0","8.2","15.5","75.6"
"伊都郡_高野町","43.0","0.4","0.3","0.0","0.0","4.3","4.0","0.5","4.4","2.0","6.3","1.8","3.5","15.6","5.9","50.4","99.3","1.2","0.5","100.0","0.6","8.3","90.4"
"有田郡_湯浅町","74.5","3.7","0.0","0.4","0.0","8.1","7.3","1.6","11.9","6.0","13.4","2.3","2.0","17.8","22.6","2.3","99.3","1.2","0.5","100.0","4.1","15.4","79.9"
"有田郡_広川町","74.0","9.7","0.2","0.4","0.0","12.2","9.0","0.5","4.7","1.7","15.8","6.4","1.0","12.6","22.3","3.0","99.3","1.2","0.5","100.0","10.3","21.2","67.9"
"有田郡_有田川町","84.6","8.8","0.2","0.1","0.0","15.9","10.1","0.9","10.8","2.0","12.4","6.0","1.6","15.8","12.5","2.3","99.3","1.2","0.5","100.0","9.0","26.0","64.3"
"日高郡_美浜町","70.9","2.1","0.0","0.3","0.0","11.2","4.7","1.2","3.0","1.8","16.3","1.1","1.0","28.4","27.2","1.2","99.3","1.2","0.5","100.0","2.3","15.8","81.2"
"日高郡_日高町","83.4","6.4","0.1","3.2","0.0","11.8","10.1","2.9","6.1","2.2","20.3","3.5","1.1","15.8","11.7","4.2","99.3","1.2","0.5","100.0","9.6","21.8","67.9"
"日高郡_由良町","88.9","1.9","0.0","0.6","0.0","56.9","4.0","0.8","3.9","1.7","8.5","2.7","0.6","7.2","8.4","2.1","99.3","1.2","0.5","100.0","2.5","61.0","35.8"
"日高郡印南町","89.3","8.2","0.2","0.2","0.0","38.0","11.5","0.7","5.2","2.0","9.8","3.1","0.8","9.9","7.2","2.8","99.3","1.2","0.5","100.0","8.5","49.5","41.4"
"日高郡みなべ町","87.1","10.8","0.2","1.4","0.0","29.9","8.2","0.6","7.4","2.3","11.1","3.7","1.3","10.3","10.3","1.9","99.3","1.2","0.5","100.0","12.3","38.1","48.9"
"日高郡日高川町","80.7","6.6","0.8","0.2","0.0","22.6","20.4","1.2","3.0","1.7","10.2","2.2","1.1","10.6","14.4","4.2","99.3","1.2","0.5","100.0","7.5","43.0","48.8"
"西牟婁郡_白浜町","85.9","1.2","0.1","0.3","0.0","5.8","13.0","1.3","7.9","2.0","11.7","3.0","1.6","38.1","10.1","3.3","99.3","1.2","0.5","100.0","1.6","18.8","78.9"
"西牟婁郡_上富田町","80.0","2.6","0.1","0.1","0.0","23.1","7.3","3.6","10.2","2.0","13.1","3.9","1.2","12.7","16.8","2.6","99.3","1.2","0.5","100.0","2.8","30.4","66.1"
"西牟婁郡_すさみ町","86.5","1.5","0.6","0.8","0.0","10.3","33.1","1.1","5.1","2.6","12.2","1.0","1.4","16.7","11.2","1.7","99.3","1.2","0.5","100.0","2.9","43.5","53.0"
"東牟婁郡_那智勝浦町","86.2","0.8","0.3","0.8","0.0","3.1","9.3","1.3","10.3","3.6","14.3","2.5","2.6","37.4","8.5","4.7","99.3","1.2","0.5","100.0","1.9","12.4","85.0"
"東牟婁郡_太地町","76.4","0.5","0.1","15.6","0.0","2.6","8.4","1.3","6.3","3.2","19.8","0.5","1.8","16.2","14.2","8.8","99.3","1.2","0.5","100.0","16.2","11.0","72.1"
"東牟婁郡_古座川町","69.7","2.2","1.8","0.1","0.4","2.8","27.4","0.5","3.5","3.0","13.4","0.0","2.1","12.5","16.7","12.9","99.3","1.2","0.5","100.0","4.1","30.6","64.7"
"東牟婁郡_北山村","87.1","0.4","0.5","0.0","0.0","2.1","12.4","58.9","1.3","1.2","2.8","0.0","0.9","6.7","11.2","1.0","99.3","1.2","0.5","100.0","0.9","14.5","84.0"
"東牟婁郡_串本町","74.3","0.4","0.2","2.3","0.0","2.6","6.9","1.8","10.2","4.4","13.6","1.5","2.6","28.0","23.6","1.4","99.3","1.2","0.5","100.0","2.9","9.5","87.0"
"海草地区","87.8","0.6","0.0","0.0","0.0","34.5","3.9","1.8","10.0","4.3","11.8","3.8","2.7","14.5","9.5","2.0","99.3","1.2","0.5","100.0","0.6","38.4","60.3"
"那賀地区","86.9","4.4","0.0","0.0","0.3","22.2","8.1","1.2","11.0","3.6","14.8","3.3","1.9","16.3","10.4","2.0","99.3","1.2","0.5","100.0","4.4","30.5","64.4"
"伊都地区","78.9","3.1","0.1","0.0","0.0","12.9","9.3","1.9","8.4","4.0","15.5","2.5","2.0","19.2","13.5","6.8","99.3","1.2","0.5","100.0","3.2","22.3","73.9"
"有田地区","88.8","4.2","0.1","0.3","0.0","43.9","5.1","0.8","6.8","2.3","9.4","3.4","1.1","11.4","8.9","1.6","99.3","1.2","0.5","100.0","4.5","49.0","45.8"
"日高地区","83.1","5.2","0.2","0.7","0.0","23.4","8.0","1.8","8.3","3.3","11.2","3.0","2.4","15.8","13.7","2.5","99.3","1.2","0.5","100.0","6.0","31.5","61.8"
"西牟婁地区","83.5","2.2","0.2","0.4","0.0","9.0","10.6","2.2","13.8","3.9","11.5","2.6","2.8","24.2","13.2","2.6","99.3","1.2","0.5","100.0","2.8","19.6","76.9"
"東牟婁地区","80.1","0.5","0.2","1.2","0.1","3.8","8.3","3.6","13.4","4.6","12.2","2.8","3.3","26.0","15.8","3.5","99.3","1.2","0.5","100.0","1.9","12.2","85.2"
