"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","86.2","2.1","0.1","0.3","0.4","26.7","4.8","3.0","9.8","5.1","10.3","3.6","2.5","17.5","11.7","1.6","99.6","0.9","0.4","100.0","2.5","31.9","65.2"
"和歌山市","87.6","0.3","0.0","0.0","0.6","35.0","3.1","2.9","9.0","5.8","9.0","3.6","2.8","15.3","10.7","1.4","99.6","0.9","0.4","100.0","0.4","38.7","60.5"
"海南市","92.4","1.8","0.0","0.1","0.1","40.1","3.1","3.1","8.5","3.1","10.5","7.4","2.3","12.3","6.2","1.0","99.6","0.9","0.4","100.0","1.9","43.3","54.3"
"橋本市","82.9","2.3","0.1","0.0","0.1","10.1","6.9","4.5","10.3","6.4","16.4","3.2","2.6","20.0","14.5","2.2","99.6","0.9","0.4","100.0","2.4","17.0","80.1"
"有田市","93.4","2.5","0.0","1.0","0.0","52.7","3.0","0.7","6.3","2.7","9.4","2.3","1.1","11.9","5.4","0.7","99.6","0.9","0.4","100.0","3.5","55.6","40.5"
"御坊市","80.8","2.8","0.0","0.4","0.0","7.9","5.9","6.7","14.0","6.1","9.1","3.3","1.9","22.7","17.4","1.4","99.6","0.9","0.4","100.0","3.2","13.8","82.6"
"田辺市","83.3","3.7","0.5","0.5","0.1","7.1","6.4","4.4","15.6","6.6","9.5","2.5","2.4","23.9","14.4","2.0","99.6","0.9","0.4","100.0","4.7","13.6","81.3"
"新宮市","81.6","0.4","0.3","0.1","0.1","4.7","7.0","6.5","15.9","6.9","9.0","3.1","4.0","23.7","15.5","2.5","99.6","0.9","0.4","100.0","0.8","11.8","87.0"
"紀の川市","87.4","7.1","0.1","0.1","0.2","24.1","6.6","2.4","8.5","3.6","13.7","3.8","1.4","15.8","10.0","2.3","99.6","0.9","0.4","100.0","7.3","30.9","61.3"
"岩出市","83.1","1.2","0.0","0.0","0.8","5.4","10.8","0.7","16.1","5.6","16.2","2.4","2.2","21.6","14.6","1.9","99.6","0.9","0.4","100.0","1.3","17.1","81.2"
"海草郡_紀美野町","83.8","5.5","0.3","0.2","0.0","22.3","8.7","1.1","4.2","3.1","12.2","1.9","1.9","22.4","14.5","1.2","99.6","0.9","0.4","100.0","5.9","31.0","62.7"
"伊都郡_かつらぎ町","81.4","8.8","0.2","0.0","0.2","19.3","8.4","1.1","7.1","3.2","12.7","2.9","1.4","16.2","17.2","1.0","99.6","0.9","0.4","100.0","9.1","27.9","62.6"
"伊都郡_九度山町","84.3","8.7","0.4","0.0","0.0","6.3","9.2","1.4","5.8","5.9","17.4","5.1","2.3","21.6","12.3","3.0","99.6","0.9","0.4","100.0","9.2","15.5","74.9"
"伊都郡_高野町","69.4","0.8","0.9","0.0","0.0","4.9","6.0","0.7","7.9","4.4","9.2","4.2","1.6","29.1","10.6","19.6","99.6","0.9","0.4","100.0","1.6","10.9","87.1"
"有田郡_湯浅町","74.4","3.4","0.0","0.9","0.0","7.5","6.3","1.8","13.7","6.0","12.7","3.4","1.8","16.8","23.2","1.9","99.6","0.9","0.4","100.0","4.3","13.8","81.5"
"有田郡_広川町","76.3","8.2","0.4","0.4","0.0","16.8","10.5","0.5","4.9","2.5","13.3","7.5","1.4","9.9","20.5","2.8","99.6","0.9","0.4","100.0","9.0","27.3","63.3"
"有田郡_有田川町","84.6","8.9","0.4","0.6","0.0","14.7","7.0","1.5","11.2","3.2","12.2","5.7","1.8","17.5","13.6","1.4","99.6","0.9","0.4","100.0","9.8","21.7","68.1"
"日高郡_美浜町","70.7","2.5","0.0","0.3","0.0","12.4","7.7","1.3","4.3","2.7","14.1","0.6","1.4","23.4","26.9","1.9","99.6","0.9","0.4","100.0","2.9","20.1","76.5"
"日高郡_日高町","83.8","6.2","0.2","6.4","0.4","10.2","16.2","2.3","6.4","2.9","15.1","2.7","1.6","13.2","13.9","1.9","99.6","0.9","0.4","100.0","12.8","26.8","60.0"
"日高郡_由良町","88.6","2.8","0.1","0.7","0.0","45.6","5.4","1.0","5.0","2.9","9.9","3.0","1.0","11.3","8.9","2.1","99.6","0.9","0.4","100.0","3.5","50.9","45.2"
"日高郡印南町","89.7","11.5","0.4","0.3","0.0","30.7","10.7","0.5","5.7","3.0","8.8","4.0","1.4","12.6","8.7","1.2","99.6","0.9","0.4","100.0","12.2","41.4","46.0"
"日高郡みなべ町","89.2","15.5","0.3","1.4","0.0","27.3","7.4","0.8","8.1","2.8","9.3","2.9","1.1","12.3","9.3","1.1","99.6","0.9","0.4","100.0","17.2","34.7","47.7"
"日高郡日高川町","82.9","7.3","1.2","0.8","0.0","29.0","11.6","3.9","2.8","2.4","8.6","2.4","1.4","11.4","14.4","2.3","99.6","0.9","0.4","100.0","9.3","40.6","49.7"
