"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","-3.7","6.5","-13.2","-22.0","-13.6","-4.7","-4.0","-18.0","-1.9","-21.8","2.5","-8.6","-1.4","1.0","0.0","-3.1","-3.3","3.3","-12.7","-3.1","2.4","-4.6","-2.8"
"和歌山市","-3.0","6.5","-10.0","-5.9","-","-3.2","-1.6","-20.3","-2.0","-19.8","4.3","-11.2","-3.9","3.5","-2.5","-1.7","-2.9","3.7","-12.4","-2.8","5.7","-3.0","-2.9"
"海南市","-9.4","6.5","-12.5","-29.9","-11.6","-16.3","7.4","-27.7","-1.9","-22.6","1.3","-5.5","6.3","1.8","2.8","2.2","-8.6","-2.4","-17.5","-8.5","5.5","-14.8","-2.4"
"橋本市","-4.5","5.2","-13.4","-","79.9","-13.8","-2.3","-22.5","-1.6","-21.6","2.3","-20.0","-5.4","2.0","4.2","-2.2","-3.2","3.4","-12.6","-3.0","4.7","-9.1","-2.3"
"有田市","10.0","6.7","-12.7","2.0","79.9","26.1","-14.0","2.3","-1.8","-17.7","0.6","-16.8","2.7","2.5","-10.7","2.3","8.6","16.0","-2.0","8.7","5.9","23.0","-3.0"
"御坊市","-4.2","7.4","-11.6","-13.3","79.9","1.0","10.1","-34.8","-1.9","-22.9","0.4","4.6","3.0","-2.5","-2.5","-12.0","-4.1","2.4","-13.5","-4.0","4.1","3.8","-5.5"
"田辺市","-5.1","6.3","-12.8","-26.2","-11.0","-7.8","-8.4","-26.5","-2.1","-26.8","1.2","-2.4","7.1","-0.6","1.7","-3.5","-4.1","2.4","-13.5","-4.0","-1.2","-8.1","-3.6"
"新宮市","-5.3","2.4","-11.6","66.3","-10.0","-31.5","-10.6","-8.0","-1.8","-25.3","1.3","3.9","2.8","-0.3","-2.5","-4.6","-4.9","1.6","-14.2","-4.7","6.2","-20.8","-3.2"
"紀の川市","-1.9","6.7","-15.7","17.5","343.7","-3.4","20.2","-18.3","-1.8","-21.8","-0.1","-11.4","-0.6","-3.3","4.4","-0.9","-1.4","5.3","-11.0","-1.2","6.6","0.7","-3.4"
"岩出市","-3.4","6.6","-9.7","17.6","-32.1","-9.7","-11.5","7.5","-1.6","-21.4","4.0","-3.7","18.4","-0.3","8.8","-3.8","-1.6","5.1","-11.2","-1.4","6.6","-12.6","0.4"
"海草郡_紀美野町","-2.4","5.7","-13.1","17.6","-","-1.0","5.8","2.9","-1.6","-30.1","-0.3","-7.1","-11.8","-4.5","-0.5","-11.1","-2.4","4.2","-11.9","-2.3","5.3","0.7","-4.5"
