"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"伊都郡_かつらぎ町","-6.0","6.7","-16.8","-","-14.0","-16.5","-4.2","1.7","-1.6","-20.6","0.4","-15.3","7.3","-0.8","6.7","-12.5","-4.3","2.2","-13.7","-4.2","6.2","-13.3","-0.8"
"伊都郡_九度山町","-5.7","6.8","-15.1","-","-","-33.1","-8.7","-6.2","-1.3","-29.9","1.1","-4.9","-17.5","-1.5","1.6","-11.2","-5.0","1.4","-14.3","-4.9","6.0","-18.7","-3.7"
"伊都郡_高野町","-5.6","7.4","-17.2","-","-","-12.8","-20.2","0.2","-1.3","-27.8","-1.3","-27.4","19.0","0.3","12.6","-6.7","-5.0","1.4","-14.3","-4.9","-5.8","-15.9","-4.2"
"有田郡_湯浅町","-4.5","6.1","-1.0","-20.5","-","-13.2","18.6","-8.1","-1.9","-25.2","0.3","-11.5","-7.1","0.8","2.5","-9.8","-3.1","3.5","-12.5","-2.9","2.5","-5.6","-2.9"
"有田郡_広川町","-3.9","6.9","-16.8","-93.8","-","-9.5","0.1","-3.6","-1.9","-23.2","0.5","-3.3","-5.0","-1.6","8.3","-14.6","-1.8","4.9","-11.4","-1.6","-4.6","-6.2","0.2"
"有田郡_有田川町","-5.9","6.3","-11.8","17.3","-","-14.0","-16.1","-6.5","-1.7","-25.2","1.2","-2.5","-9.5","-3.6","2.6","-4.7","-4.8","1.7","-14.1","-4.7","5.9","-14.6","-2.4"
"日高郡_美浜町","-5.6","7.4","-9.9","-30.5","-","-10.6","-33.0","-3.1","-1.6","-21.5","0.1","4.7","-5.6","0.4","-2.8","-22.1","-5.0","1.4","-14.3","-4.9","2.8","-19.6","-2.1"
"日高郡_日高町","-4.4","5.9","-17.0","-22.0","-","6.3","-21.3","8.0","-1.8","-25.6","1.8","-10.5","-8.6","-2.8","1.0","-12.2","-4.2","2.3","-13.6","-4.1","-8.3","-6.7","-2.7"
"日高郡_由良町","-1.6","6.6","-16.2","-56.2","-","0.6","-1.6","-4.3","-1.7","-19.2","0.2","14.7","0.8","-10.3","17.4","-13.3","0.0","6.8","-9.7","0.2","-14.4","0.3","0.8"
"日高郡印南町","-12.0","7.2","-14.3","-20.8","-","-29.3","-10.7","-6.0","-1.5","-27.6","0.5","11.9","-10.7","-2.8","6.7","-3.8","-10.0","-3.9","-18.8","-9.9","5.8","-24.9","-1.2"
"日高郡みなべ町","-9.6","7.2","-13.3","-18.6","-","-11.4","-33.4","-2.4","-1.6","-28.1","-0.5","4.5","-7.2","-10.1","2.0","-9.0","-8.2","-2.0","-17.2","-8.1","2.7","-17.3","-4.3"
"日高郡日高川町","-6.6","6.0","-11.8","17.4","-","-4.4","-12.4","-19.0","-1.6","-29.7","0.9","-7.2","-18.9","-10.9","-4.3","2.7","-5.9","0.5","-15.1","-5.8","4.0","-6.7","-6.7"
"西牟婁郡_白浜町","-5.3","5.4","-13.9","-95.6","-100.0","-18.4","-9.6","-6.1","-1.4","-26.7","-0.2","-7.2","1.0","-2.1","-2.9","2.1","-4.8","1.7","-14.1","-4.7","-24.0","-14.1","-2.9"
"西牟婁郡_上富田町","-8.2","6.4","-13.5","17.6","-","-18.3","-21.4","-5.3","-1.7","-22.4","4.0","-4.4","2.3","-4.4","0.6","8.1","-6.3","0.0","-15.5","-6.2","5.8","-19.0","-1.6"
"西牟婁郡_すさみ町","-3.8","5.5","-14.1","14.5","-55.0","-2.1","20.6","-6.5","-1.7","-31.3","-2.7","-6.1","-4.6","-4.2","6.2","-9.4","-2.5","4.2","-12.0","-2.3","3.2","1.8","-4.0"
"東牟婁郡_那智勝浦町","-1.4","4.7","-10.8","-36.7","-","-5.4","-9.2","-5.7","-1.7","-27.1","1.2","-2.6","-3.2","4.3","10.5","-3.0","-0.6","6.2","-10.3","-0.4","-21.0","-7.7","0.7"
"東牟婁郡_太地町","5.7","-5.2","10.4","57.0","-","-41.6","-4.2","-6.5","-1.7","-20.1","1.4","2.5","-1.2","-7.2","29.0","31.7","10.1","17.5","-0.7","10.2","54.5","-15.5","4.3"
"東牟婁郡_古座川町","-3.2","7.4","-18.2","17.6","99.6","-5.7","32.2","-1.0","-1.3","-36.0","0.3","-3.7","-21.1","-11.9","6.9","75.5","2.5","9.5","-7.5","2.7","-5.8","26.4","-0.9"
"東牟婁郡_北山村","29.1","7.4","-9.9","-","-","4.9","-30.4","50.9","-1.2","-43.6","1.5","-","-4.7","-4.8","-20.2","-4.4","23.1","31.4","11.1","23.2","-2.1","-26.4","29.1"
"東牟婁郡_串本町","-6.5","6.8","-10.4","-57.7","-","32.2","-17.4","-15.8","-1.7","-","0.5","-17.8","-10.6","-1.3","-0.1","-13.3","-5.1","1.4","-14.3","-4.9","-48.3","-2.3","-3.5"
"海草地区","-3.8","6.4","-11.6","-10.5","-11.6","-5.2","-0.3","-21.0","-2.0","-20.0","3.9","-10.0","-3.0","3.1","-2.1","-1.5","-3.6","2.9","-13.0","-3.5","5.6","-4.8","-2.8"
"那賀地区","-2.4","6.7","-14.8","17.5","-14.9","-4.0","5.3","-14.0","-1.7","-21.6","1.6","-9.1","7.7","-2.0","6.5","-1.7","-1.4","5.2","-11.1","-1.3","6.6","-1.9","-1.8"
"伊都地区","-5.0","6.1","-15.8","-","-3.1","-15.4","-3.9","-19.2","-1.6","-22.2","1.7","-18.6","-1.9","1.2","5.0","-6.1","-3.7","2.9","-13.1","-3.5","5.3","-11.3","-2.3"
"有田地区","1.6","6.5","-12.5","-17.3","79.9","12.2","-10.3","-3.2","-1.8","-22.2","0.7","-8.0","-5.0","-0.3","0.3","-4.3","1.3","8.2","-8.6","1.4","4.3","8.6","-2.5"
"日高地区","-6.0","7.0","-12.7","-22.2","118.5","-7.3","-13.5","-27.4","-1.8","-24.3","0.4","4.3","-1.2","-4.3","-0.2","-9.2","-5.2","1.2","-14.5","-5.1","1.6","-8.9","-4.3"
"西牟婁地区","-5.4","6.2","-13.1","-35.2","-25.1","-11.8","-9.3","-21.6","-2.0","-26.7","1.1","-3.8","5.8","-1.3","1.0","-1.3","-4.4","2.0","-13.8","-4.3","-2.9","-10.9","-3.3"
"東牟婁地区","-3.9","4.4","-13.0","-18.5","-3.3","-17.8","-9.9","1.9","-1.8","-25.7","1.1","0.1","-1.8","0.4","0.3","-0.5","-3.1","3.5","-12.6","-3.0","-12.5","-13.1","-1.8"
