"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","-4.9","-22.3","-10.6","-16.9","-26.6","-17.0","8.0","15.2","7.8","-1.2","2.9","-8.0","7.0","-2.5","-3.5","-6.4","-4.7","-25.6","-26.1","-4.9","-21.5","-13.5","0.3"
"和歌山市","-8.3","-21.6","-7.4","-10.6","-","-21.0","-4.7","18.5","8.5","0.5","4.3","-9.6","6.9","-3.9","-3.1","-6.1","-7.7","-27.9","-28.4","-7.8","-21.0","-19.6","0.6"
"海南市","-7.8","-22.5","-9.9","-28.8","-26.2","-18.6","29.4","28.8","9.0","-3.2","2.3","-11.1","10.1","-2.2","-5.5","-0.7","-7.5","-27.8","-28.2","-7.7","-22.5","-14.6","-0.1"
"橋本市","-0.1","-21.7","-10.9","-","12.6","-14.4","-5.7","29.8","5.6","-3.0","2.4","-0.4","-12.8","2.2","-7.1","-3.4","-1.4","-23.0","-23.4","-1.5","-21.5","-10.5","0.7"
"有田市","-17.9","-22.7","-10.3","-12.0","12.6","-39.9","29.4","22.8","6.9","5.3","0.9","33.8","13.1","-2.3","4.1","-2.0","-16.5","-34.8","-35.2","-16.6","-20.9","-36.2","4.1"
"御坊市","2.3","-22.9","-9.1","5.8","12.6","16.8","13.8","24.8","6.8","0.4","0.6","-20.2","6.6","-4.6","-4.0","-13.7","0.8","-21.3","-21.8","0.7","-19.2","15.9","-0.9"
"田辺市","0.8","-22.1","-10.5","-5.9","-51.2","-4.5","10.4","23.6","7.8","-5.8","2.9","-7.2","11.0","-3.7","-6.2","-6.4","-0.4","-22.2","-22.7","-0.6","-19.0","1.7","0.0"
"新宮市","1.3","-19.1","-9.1","-46.4","0.3","8.7","7.1","4.5","7.0","-3.4","2.2","-7.4","7.3","-3.3","-2.4","-8.1","0.4","-21.6","-22.1","0.3","-22.0","7.7","-0.1"
"紀の川市","1.0","-22.6","-13.2","-9.1","-36.9","2.8","17.6","14.2","8.0","-5.4","0.4","-5.4","8.4","-0.6","6.0","-4.1","1.3","-20.9","-21.3","1.2","-22.4","5.4","1.8"
"岩出市","2.7","-20.1","-7.0","-15.4","-22.9","-1.3","-8.5","18.7","6.0","1.2","4.5","-3.3","49.0","2.4","-10.2","-5.2","0.5","-21.5","-22.0","0.4","-19.7","-6.9","2.0"
"海草郡_紀美野町","-4.8","-22.2","-10.5","-26.3","-","-13.9","13.7","-3.9","7.1","-4.3","0.0","-7.8","-6.3","-1.7","-5.3","-14.0","-5.1","-25.9","-26.3","-5.2","-21.9","-6.7","-2.5"
