"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","0.9","10.9","-7.6","-7.4","-77.2","0.1","10.5","-4.2","0.2","1.3","3.5","6.6","-2.6","-1.0","-2.3","9.4","0.7","13.6","0.8","0.8","7.8","0.7","0.5"
"和歌山市","-2.4","12.7","-4.0","-8.0","-86.3","-3.4","20.4","-6.2","1.1","-2.9","3.6","4.8","-13.7","-5.4","-1.6","8.4","-2.1","10.4","-2.1","-2.0","11.2","-2.9","-1.6"
"海南市","26.1","35.2","-6.7","1.4","0.5","53.1","25.5","-10.0","-4.2","4.1","3.1","2.8","-6.3","-1.4","-8.7","9.0","23.6","39.4","23.7","23.7","34.1","51.0","-1.3"
"橋本市","1.0","5.3","-7.4","-100.0","-100.0","-0.9","-4.8","-11.0","2.3","3.1","2.8","10.1","5.9","1.4","1.1","4.8","1.1","14.0","1.2","1.2","4.5","-2.5","1.8"
"有田市","-19.9","38.1","-6.7","0.7","-","-35.5","35.1","17.6","0.4","6.8","4.3","6.0","5.7","1.7","-0.6","11.3","-18.7","-8.3","-18.6","-18.6","28.3","-33.0","3.1"
"御坊市","4.7","2.9","-5.6","0.2","-","27.8","-10.8","-6.7","-3.3","5.5","4.0","12.4","110.3","-0.8","-3.5","23.3","3.7","16.9","3.8","3.8","2.5","12.7","2.4"
"田辺市","2.7","-9.8","-7.1","-0.8","-3.5","-5.9","14.1","-6.2","-0.3","4.0","2.0","3.3","38.0","4.9","-1.5","11.1","2.3","15.3","2.3","2.4","-8.5","2.8","2.7"
"新宮市","-0.4","0.6","-5.6","-24.8","-0.3","-23.8","-4.9","3.8","1.8","4.7","5.3","3.8","-21.4","2.7","-1.2","11.7","-0.2","12.6","-0.1","0.0","-8.2","-12.8","1.5"
"紀の川市","8.4","21.0","-10.3","-73.1","-85.3","15.3","-9.1","1.6","5.2","6.1","3.4","18.2","23.9","4.2","-7.6","6.4","6.7","20.4","6.8","6.8","18.4","10.5","3.4"
"岩出市","4.8","-15.8","-3.7","241.3","-43.3","9.3","14.2","-3.8","1.0","12.6","5.8","16.5","-4.5","0.7","-6.7","-1.0","3.0","16.1","3.1","3.1","-14.0","10.0","1.8"
"海草郡_紀美野町","5.1","23.6","-7.3","-9.9","-","1.8","13.8","0.5","-0.3","25.4","3.6","24.4","-5.7","0.3","-7.5","12.9","3.4","16.6","3.5","3.5","21.0","4.7","1.2"
"伊都郡_かつらぎ町","6.5","16.1","-11.5","-100.0","-2.7","11.3","24.4","0.5","-1.7","8.3","-3.7","3.5","-4.5","2.5","-1.8","11.3","5.3","18.7","5.3","5.4","15.0","15.1","0.1"
"伊都郡_九度山町","0.2","10.4","-9.4","-","-","-5.6","-1.6","1.1","-7.1","6.8","3.0","3.5","-3.2","-3.0","4.5","12.1","1.2","14.1","1.2","1.3","9.4","-3.2","1.3"
"伊都郡_高野町","-1.1","-1.6","-11.9","-","-","-7.5","11.3","-10.5","-5.3","9.5","1.6","-1.1","105.3","-8.9","-5.8","11.1","4.5","17.8","4.5","4.6","-7.9","2.8","4.7"
"有田郡_湯浅町","6.6","37.7","15.9","0.8","-","26.1","-21.5","5.0","-5.2","11.9","3.5","12.7","50.4","3.7","-4.9","6.1","3.9","17.1","3.9","4.0","33.6","9.2","1.8"
"有田郡_広川町","-4.4","27.1","-11.4","24.3","-","-37.7","-14.4","0.5","-4.9","1.8","3.7","-1.7","-7.0","27.6","7.1","-1.6","-1.9","10.6","-1.9","-1.8","25.2","-27.7","6.5"
"有田郡_有田川町","12.9","32.7","-5.9","-90.0","-","15.8","12.2","6.8","1.3","4.5","4.7","50.6","52.1","7.3","-3.3","13.9","10.5","24.6","10.6","10.6","22.5","14.5","7.6"
"日高郡_美浜町","1.1","-4.2","-4.3","0.2","-","-10.4","11.2","1.0","-14.4","1.8","4.9","20.8","-3.8","3.5","1.7","-0.8","1.2","14.2","1.3","1.4","-3.7","-2.6","2.2"
"日高郡_日高町","0.1","0.6","-11.8","0.2","-","11.1","-16.8","6.9","-7.0","7.6","5.8","-8.2","-4.8","4.5","-11.2","14.0","-0.6","12.1","-0.5","-0.5","0.2","-5.3","0.9"
"日高郡_由良町","-13.0","0.5","-11.7","4.5","-","-24.0","18.7","-1.1","-0.9","-0.6","3.1","-21.2","-7.1","3.3","8.4","11.3","-10.8","0.6","-10.7","-10.7","1.5","-20.4","1.6"
"日高郡印南町","-8.3","-10.3","-8.4","0.2","-","-20.2","10.9","0.3","-0.3","14.7","4.6","-2.7","-2.6","-3.4","5.7","5.1","-6.9","5.0","-6.9","-6.8","-9.9","-14.6","1.9"
"日高郡みなべ町","4.1","-13.7","-7.3","-0.2","-","11.5","13.9","-3.9","-5.6","17.7","4.0","3.5","39.2","0.9","4.6","8.0","4.3","17.6","4.3","4.4","-12.1","12.1","3.4"
"日高郡日高川町","3.9","3.2","-5.8","-83.7","-","-2.9","0.9","-17.0","2.1","16.1","3.2","9.6","53.0","30.8","0.3","4.2","3.4","16.6","3.5","3.5","-7.5","-1.7","10.0"
"西牟婁郡_白浜町","3.8","-15.2","-8.1","24.2","280.6","5.4","45.1","-8.3","-0.8","11.1","2.9","-2.2","0.7","1.4","-7.5","13.3","2.7","15.9","2.8","2.9","-8.9","21.4","0.5"
"西牟婁郡_上富田町","4.0","-7.6","-7.4","36.5","-","3.1","3.9","25.5","-1.2","6.3","5.8","4.0","-2.9","5.2","1.8","11.1","3.7","17.0","3.8","3.8","-6.6","3.3","4.5"
"西牟婁郡_すさみ町","-3.9","-5.8","-8.3","-1.2","-6.6","16.7","-59.5","-4.9","-5.4","22.5","3.1","-0.6","-3.9","-3.4","-26.2","4.1","-7.9","3.9","-7.8","-7.8","-5.1","-13.0","-6.5"
"東牟婁郡_那智勝浦町","0.8","5.4","-4.9","1.5","-","-5.8","-5.4","-4.6","-4.4","12.6","4.3","1.5","24.5","-0.1","-3.7","12.0","0.9","13.8","1.0","1.1","1.7","-5.5","1.7"
