"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"東牟婁郡_太地町","-9.0","0.0","11.5","11.4","-","-77.7","-22.9","-4.2","-7.8","-0.5","4.2","4.2","0.3","-6.1","-19.4","8.5","-10.2","1.3","-10.1","-10.1","10.7","-47.9","-5.3"
"東牟婁郡_古座川町","-2.2","30.5","-13.8","-9.9","-100.0","-2.8","-22.6","0.3","-6.7","35.7","4.5","7.6","-1.5","5.6","-14.5","-3.3","-4.9","7.3","-4.8","-4.8","-1.5","-20.3","-0.7"
"東牟婁郡_北山村","56.6","5.4","-5.4","-","-","-66.2","94.8","68.1","43.3","68.4","10.7","-","-1.8","16.1","40.7","0.5","52.8","72.3","52.9","53.0","-1.2","81.3","48.1"
"東牟婁郡_串本町","0.2","2.0","-4.6","10.1","-","-12.7","-7.7","-8.9","-4.4","12.1","4.1","5.4","12.2","0.4","-1.1","10.2","0.1","12.9","0.1","0.2","7.8","-9.5","1.0"
"海草地区","0.9","22.2","-5.7","-6.3","-84.3","3.2","20.8","-6.6","0.5","-2.3","3.5","4.5","-13.0","-4.9","-2.2","8.5","0.7","13.6","0.8","0.8","20.5","3.4","-1.5"
"那賀地区","7.2","17.7","-9.3","-65.4","-44.6","14.7","1.7","0.8","3.1","9.3","4.4","17.7","10.5","2.7","-7.2","4.3","5.4","18.9","5.5","5.6","15.6","10.4","2.8"
"伊都地区","2.0","10.9","-10.3","-100.0","-3.1","3.0","2.9","-9.9","0.9","4.2","1.5","7.2","8.5","0.4","0.2","9.8","2.3","15.4","2.4","2.4","9.6","3.0","1.8"
"有田地区","-7.3","33.9","-6.7","-24.7","-","-28.1","8.9","9.7","-0.7","7.3","4.2","24.4","31.6","5.3","-2.0","9.4","-6.4","5.6","-6.3","-6.3","25.5","-24.0","4.7"
"日高地区","0.7","-6.3","-6.9","-8.9","-","-3.7","2.1","-6.2","-3.7","7.6","4.2","3.8","66.0","2.5","-0.6","13.1","0.8","13.7","0.9","1.0","-6.7","-2.1","3.0"
"西牟婁地区","2.8","-10.0","-7.4","3.4","-1.8","-0.9","13.4","-3.0","-0.5","5.2","2.7","1.9","27.1","3.7","-2.9","11.3","2.2","15.2","2.3","2.3","-8.1","4.6","2.2"
"東牟婁地区","0.3","5.5","-8.0","4.8","-5.5","-20.4","-5.2","7.5","-0.6","7.8","4.7","3.6","-8.7","1.3","-1.9","11.0","0.2","13.1","0.3","0.4","2.6","-11.1","1.6"
