"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","2848738.0","53462.0","2256.0","5832.0","1257.0","811667.0","172281.0","86622.0","336473.0","144301.0","422155.0","130799.0","86867.0","594765.0","389447.0","74204.0","3312389.0","30961.0","14452.0","3328898.0","61550.0","985206.0","2265633.0"
"和歌山市","1400459.0","4458.0","55.0","208.0","0.0","508951.0","57526.0","41414.0","158811.0","79523.0","190532.0","61069.0","44665.0","253247.0","169375.0","29658.0","1599493.0","14951.0","6979.0","1607464.0","4721.0","566477.0","1028294.0"
"海南市","198619.0","3725.0","18.0","56.0","142.0","83704.0","12037.0","4969.0","16023.0","5105.0","25064.0","16192.0","5488.0","26096.0","13738.0","3763.0","216120.0","2020.0","943.0","217197.0","3798.0","95883.0","116438.0"
"橋本市","112148.0","2297.0","59.0","0.0","22.0","9550.0","8145.0","5201.0","14861.0","7231.0","26521.0","4078.0","3107.0","31075.0","20979.0","3125.0","136252.0","1274.0","594.0","136931.0","2357.0","17718.0","116178.0"
"有田市","85308.0","2800.0","6.0","625.0","15.0","30973.0","3783.0","1483.0","7723.0","3329.0","13347.0","4405.0","1370.0","15450.0","6033.0","1688.0","93030.0","870.0","406.0","93493.0","3431.0","34771.0","54828.0"
"御坊市","75633.0","1932.0","13.0","386.0","30.0","9947.0","4552.0","4314.0","12062.0","5098.0","10004.0","3006.0","4215.0","20074.0","15679.0","1841.0","93153.0","871.0","406.0","93617.0","2330.0","14529.0","76294.0"
"田辺市","185449.0","4620.0","626.0","906.0","104.0","15227.0","14080.0","8058.0","35519.0","11545.0","25542.0","6542.0","8069.0","54612.0","31257.0","4486.0","221193.0","2067.0","965.0","222295.0","6151.0","29411.0","185630.0"
"新宮市","83703.0","310.0","166.0","75.0","103.0","3830.0","5076.0","6364.0","17502.0","5840.0","11265.0","4591.0","4324.0","24257.0","15690.0","2709.0","102103.0","954.0","445.0","102612.0","552.0","9009.0","92542.0"
"紀の川市","150967.0","8958.0","54.0","62.0","153.0","47932.0","13000.0","3147.0","15148.0","4486.0","23151.0","7199.0","2302.0","25377.0","16053.0","3369.0","170390.0","1593.0","743.0","171239.0","9073.0","61085.0","100232.0"
"岩出市","73914.0","638.0","12.0","19.0","598.0","4255.0","6599.0","855.0","13320.0","5179.0","17309.0","3326.0","2923.0","18882.0","12785.0","1171.0","87870.0","821.0","383.0","88308.0","669.0","11452.0","75749.0"
"海草郡_紀美野町","20520.0","1276.0","42.0","32.0","0.0","4967.0","2323.0","309.0","1054.0","694.0","3452.0","634.0","301.0","5435.0","3440.0","494.0","24454.0","229.0","107.0","24576.0","1351.0","7290.0","15814.0"
