"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","2994380.0","68847.0","2524.0","7018.0","1713.0","977865.0","159586.0","75177.0","312138.0","146081.0","410308.0","142225.0","81188.0","609710.0","403594.0","79246.0","3477220.0","41620.0","19546.0","3499294.0","78389.0","1139164.0","2259667.0"
"和歌山市","1526766.0","5687.0","60.0","233.0","0.0","644523.0","60357.0","34939.0","146305.0","79113.0","182676.0","67564.0","41783.0","263527.0","174731.0","31571.0","1733068.0","20744.0","9742.0","1744069.0","5979.0","704880.0","1022209.0"
"海南市","215391.0","4804.0","20.0","78.0","193.0","102769.0","9300.0","3857.0","14707.0","5274.0","24511.0","18205.0","4984.0","26689.0","14541.0","3792.0","233723.0","2798.0","1314.0","235207.0","4902.0","112262.0","116560.0"
"橋本市","112308.0","2934.0","67.0","0.0","20.0","11152.0","8633.0","4008.0","14075.0","7454.0","25899.0","4095.0","3564.0","30408.0","22587.0","3235.0","138130.0","1653.0","776.0","139007.0","3001.0","19805.0","115324.0"
"有田市","103941.0","3622.0","6.0","710.0","13.0","51521.0","2924.0","1208.0","7224.0","3163.0","13231.0","3293.0","1211.0","15815.0","5794.0","1723.0","111458.0","1334.0","627.0","112166.0","4338.0","54459.0","52661.0"
"御坊市","73961.0","2504.0","14.0","364.0","27.0","8516.0","3999.0","3458.0","11298.0","5077.0","9946.0","3765.0","3953.0","21040.0","16325.0","2133.0","92420.0","1106.0","520.0","93006.0","2883.0","12541.0","76996.0"
"田辺市","184033.0","5929.0","700.0","962.0","214.0","15948.0","12752.0","6518.0","32934.0","12256.0","24820.0","7048.0","7267.0","56687.0","33315.0","4792.0","222140.0","2659.0","1249.0","223550.0","7591.0","28913.0","185636.0"
"新宮市","82662.0","383.0","183.0","141.0","103.0","3522.0","4738.0","6087.0","16355.0","6047.0","11019.0","4961.0","4029.0","25093.0","16083.0","2947.0","101691.0","1217.0","572.0","102337.0","707.0","8363.0","92621.0"
"紀の川市","149483.0","11569.0","62.0","68.0","242.0","46638.0","11054.0","2756.0","14026.0","4740.0","23069.0","7607.0","2124.0","25527.0","15147.0","3511.0","168141.0","2013.0","945.0","169208.0","11699.0","57934.0","98508.0"
"岩出市","71941.0","798.0","13.0","22.0","775.0","4313.0","7212.0","720.0","12565.0","5119.0","16560.0","3438.0","1961.0","18445.0","14244.0","1235.0","87420.0","1046.0","491.0","87974.0","833.0","12300.0","74286.0"
