"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"西牟婁郡_上富田町","32140.0","1444.0","79.0","28.0","0.0","9098.0","2909.0","1040.0","4267.0","1085.0","4302.0","1457.0","593.0","5839.0","6684.0","825.0","39649.0","340.0","172.0","39817.0","1550.0","12008.0","26091.0"
"西牟婁郡_すさみ町","9153.0","291.0","166.0","163.0","168.0","1531.0","581.0","210.0","822.0","528.0","1578.0","141.0","302.0","2672.0","1939.0","348.0","11440.0","98.0","50.0","11488.0","620.0","2280.0","8541.0"
"東牟婁郡_那智勝浦町","36835.0","402.0","177.0","609.0","0.0","1467.0","2454.0","704.0","4896.0","1941.0","5654.0","1035.0","1178.0","16318.0","3202.0","736.0","40774.0","350.0","177.0","40946.0","1187.0","3921.0","35665.0"
"東牟婁郡_太地町","5026.0","40.0","5.0","774.0","0.0","424.0","387.0","96.0","484.0","314.0","1096.0","31.0","151.0","1224.0","765.0","90.0","5881.0","50.0","26.0","5906.0","818.0","811.0","4252.0"
"東牟婁郡_古座川町","4728.0","285.0","320.0","24.0","8.0","139.0","897.0","202.0","331.0","289.0","879.0","40.0","267.0","1048.0","1619.0","506.0","6853.0","59.0","30.0","6882.0","629.0","1043.0","5181.0"
"東牟婁郡_北山村","1908.0","19.0","29.0","0.0","0.0","25.0","227.0","1150.0","19.0","45.0","99.0","0.0","53.0","242.0","413.0","46.0","2366.0","20.0","10.0","2376.0","48.0","253.0","2066.0"
"東牟婁郡_串本町","37783.0","268.0","120.0","991.0","0.0","1472.0","2999.0","1355.0","5707.0","2635.0","6210.0","718.0","1413.0","13896.0","12029.0","878.0","50690.0","435.0","220.0","50904.0","1378.0","4471.0","44841.0"
"海草地区","1763952.0","11522.0","193.0","683.0","10872.0","709056.0","63961.0","58709.0","178227.0","108795.0","184524.0","80570.0","55213.0","301626.0","204832.0","26334.0","1995118.0","17102.0","8652.0","2003568.0","12398.0","783889.0","1198831.0"
"那賀地区","214257.0","12569.0","143.0","216.0","1036.0","43772.0","20253.0","4484.0","27849.0","10757.0","36385.0","8144.0","4186.0","44461.0","28885.0","5330.0","248472.0","2130.0","1077.0","249525.0","12928.0","65062.0","170482.0"
"伊都地区","182460.0","8839.0","412.0","22.0","199.0","26026.0","16234.0","7467.0","20487.0","12348.0","33688.0","7341.0","5069.0","44330.0","32859.0","7180.0","222499.0","1907.0","965.0","223442.0","9273.0","42459.0","170768.0"
"有田地区","230706.0","13074.0","361.0","2149.0","0.0","85466.0","13721.0","2886.0","23335.0","8951.0","29257.0","10091.0","3794.0","37622.0","30686.0","3367.0","264759.0","2269.0","1148.0","265881.0","15584.0","99187.0","149988.0"
"日高地区","214595.0","17039.0","663.0","2519.0","58.0","50547.0","20518.0","9181.0","23005.0","10491.0","25230.0","7597.0","3925.0","43822.0","37244.0","3936.0","255775.0","2192.0","1109.0","256858.0","20221.0","71123.0","164430.0"
"西牟婁地区","296819.0","11869.0","1573.0","1271.0","523.0","30907.0","22824.0","13023.0","47947.0","19225.0","35776.0","10387.0","7921.0","93574.0","50045.0","7214.0","354078.0","3035.0","1535.0","355578.0","14713.0","54254.0","285111.0"
"東牟婁地区","175912.0","1468.0","944.0","2506.0","152.0","8679.0","14609.0","10632.0","28942.0","12794.0","23774.0","5211.0","7475.0","58725.0","35044.0","5025.0","215981.0","1851.0","937.0","216895.0","4918.0","23440.0","187623.0"
