"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","86.1","1.8","0.1","0.2","0.1","28.4","4.6","2.5","8.8","5.2","11.1","4.3","2.3","16.7","11.2","2.3","99.5","1.1","0.6","100.0","2.1","33.1","64.3"
"和歌山市","87.7","0.3","0.0","0.0","0.0","37.1","3.4","2.4","8.3","5.5","9.8","4.2","2.4","14.2","10.0","1.8","99.5","1.1","0.6","100.0","0.3","40.5","58.7"
"海南市","92.6","1.8","0.0","0.0","0.1","47.8","3.4","2.1","5.8","2.7","9.4","7.5","1.8","10.2","5.5","1.4","99.5","1.1","0.6","100.0","1.8","51.2","46.4"
"橋本市","82.1","1.9","0.1","0.0","0.0","9.0","6.2","3.6","10.0","6.6","17.7","3.6","2.6","20.8","15.1","2.3","99.5","1.1","0.6","100.0","2.0","15.2","82.3"
"有田市","91.6","3.3","0.0","0.7","0.0","39.6","3.3","1.1","7.1","3.7","12.8","3.8","1.1","15.0","6.3","1.6","99.5","1.1","0.6","100.0","4.0","42.9","52.6"
"御坊市","79.7","2.4","0.0","0.4","0.0","8.7","3.8","5.5","11.9","6.8","10.2","3.7","4.0","22.3","17.3","2.5","99.5","1.1","0.6","100.0","2.9","12.5","84.2"
"田辺市","83.3","2.4","0.3","0.6","0.1","7.4","6.0","3.8","14.4","7.2","10.5","3.1","2.9","24.5","14.1","2.1","99.5","1.1","0.6","100.0","3.3","13.5","82.7"
"新宮市","81.3","0.3","0.2","0.1","0.1","4.8","4.9","6.2","15.5","7.5","10.1","4.4","3.6","23.4","15.4","2.9","99.5","1.1","0.6","100.0","0.6","9.8","89.1"
"紀の川市","89.0","6.3","0.0","0.0","0.0","28.2","5.4","2.0","8.3","3.5","13.5","5.0","1.2","15.4","8.5","2.1","99.5","1.1","0.6","100.0","6.4","33.6","59.5"
"岩出市","83.4","0.8","0.0","0.0","1.3","5.4","9.1","0.8","14.3","7.3","17.8","4.0","1.9","20.7","14.7","1.4","99.5","1.1","0.6","100.0","0.9","15.8","82.9"
