"項目","1.産業","1.産業_農業","1.産業_林業","1.産業_水産業","1.産業_鉱業","1.産業_製造業","1.産業_建設業","1.産業_電気・ガス","1.産業_卸売・小売業","1.産業_金融・保険業","1.産業_不動産業","1.産業_運輸業","1.産業_情報通信業","1.産業_サービス業","2.政府サービス生産者","3.対家計民間非営利サービス生産者"," 小  計(1+2+3)","輸入品に課される税・関税","（控除）総資本形成に係る消費税","市町村内総 生 産","（再掲）第一次産業","（再掲）第二次産業","（再掲）第三次産業"
"和歌山県計","3069079.0","70737.0","5562.0","9415.0","17151.0","970957.0","173398.0","98223.0","347763.0","185637.0","360599.0","115712.0","90858.0","623067.0","422826.0","58637.0","3550542.0","29090.0","15741.0","3563891.0","85714.0","1161506.0","2303322.0"
"和歌山市","1504941.0","5928.0","122.0","389.0","14445.0","595630.0","49781.0","47634.0","157059.0","104114.0","154778.0","56853.0","50217.0","267991.0","190735.0","23449.0","1719125.0","14085.0","7622.0","1725588.0","6439.0","659856.0","1052829.0"
"海南市","204359.0","3780.0","40.0","146.0","245.0","90678.0","7064.0","6166.0","18295.0","6720.0","23801.0","14955.0","5594.0","26873.0","14482.0","2211.0","221053.0","1811.0","980.0","221884.0","3967.0","97988.0","119098.0"
"橋本市","126007.0","2878.0","154.0","9.0","125.0","17144.0","14350.0","6326.0","15532.0","9543.0","23645.0","3587.0","3849.0","28865.0","21095.0","3200.0","150303.0","1231.0","666.0","150868.0","3041.0","31619.0","115643.0"
"有田市","143765.0","2816.0","14.0","838.0","0.0","93525.0","3714.0","826.0","7451.0","3481.0","11645.0","2643.0","1519.0","15293.0","6675.0","960.0","151400.0","1240.0","671.0","151969.0","3668.0","97239.0","50492.0"
"御坊市","82095.0","2684.0","29.0","442.0","0.0","8623.0","6655.0","5890.0","14909.0","6118.0","8853.0","2798.0","1972.0","23122.0","17990.0","1246.0","101330.0","830.0","449.0","101711.0","3155.0","15279.0","82897.0"
"田辺市","200880.0","8213.0","1486.0","1168.0","349.0","19684.0","17165.0","9552.0","36756.0","15792.0","22140.0","5371.0","6863.0","56342.0","34193.0","4650.0","239723.0","1964.0","1063.0","240625.0","10866.0","37198.0","191659.0"
"新宮市","86928.0","480.0","381.0","228.0","158.0","4883.0","6049.0","6675.0","17679.0","7448.0","9443.0","2951.0","4338.0","26214.0","17045.0","2777.0","106751.0","875.0","473.0","107152.0","1090.0","11090.0","94571.0"
"紀の川市","138921.0","11166.0","146.0","252.0","455.0","38761.0","10063.0","3413.0","13843.0","5882.0","22024.0","5507.0","2384.0","25024.0","15515.0","3819.0","158255.0","1297.0","702.0","158850.0","11563.0","49280.0","97411.0"
"岩出市","69463.0","1108.0","41.0","2.0","891.0","5176.0","7090.0","604.0","13909.0","4339.0","13723.0","1900.0","2127.0","18552.0","12393.0","1724.0","83580.0","685.0","371.0","83894.0","1151.0","13157.0","69272.0"
"海草郡_紀美野町","23632.0","1465.0","86.0","41.0","0.0","6522.0","2646.0","329.0","1405.0","868.0","3214.0","481.0","564.0","6011.0","4268.0","330.0","28230.0","231.0","125.0","28336.0","1592.0","9167.0","17471.0"
